words,productive,condition,response_plausable,type_template
assemblyless,1,condition 1,1,context_manager
benchish,1,condition 1,1,context_manager
delveable,1,condition 1,1,context_manager
lunchify,1,condition 1,1,context_manager
platialise,0,condition 1,1,context_manager
violinious,0,condition 1,1,context_manager
musksome,0,condition 1,1,context_manager
containary,0,condition 1,1,context_manager
shallowen,0,condition 1,1,context_manager
signatorily,1,condition 2,0,context_manager
assemblyless,1,condition 2,1,context_manager
benchish,1,condition 2,0,context_manager
delveable,1,condition 2,0,context_manager
lunchify,1,condition 2,0,context_manager
platialise,0,condition 2,0,context_manager
violinious,0,condition 2,0,context_manager
musksome,0,condition 2,0,context_manager
containary,0,condition 2,0,context_manager
shallowen,0,condition 2,0,context_manager
signatorily,1,condition 3,1,context_manager
assemblyless,1,condition 3,1,context_manager
benchish,1,condition 3,1,context_manager
delveable,1,condition 3,1,context_manager
lunchify,1,condition 3,1,context_manager
platialise,0,condition 3,1,context_manager
violinious,0,condition 3,1,context_manager
musksome,0,condition 3,1,context_manager
containary,0,condition 3,0,context_manager
shallowen,0,condition 3,1,context_manager
signatorily,1,condition 4,1,context_manager
assemblyless,1,condition 4,1,context_manager
benchish,1,condition 4,1,context_manager
delveable,1,condition 4,1,context_manager
lunchify,1,condition 4,1,context_manager
platialise,0,condition 4,1,context_manager
violinious,0,condition 4,1,context_manager
musksome,0,condition 4,0,context_manager
containary,0,condition 4,1,context_manager
shallowen,0,condition 4,0,context_manager
signatorily,1,condition 1,0,template
assemblyless,1,condition 1,1,template
benchish,1,condition 1,1,template
delveable,1,condition 1,1,template
lunchify,1,condition 1,1,template
platialise,0,condition 1,1,template
violinious,0,condition 1,1,template
musksome,0,condition 1,0,template
containary,0,condition 1,1,template
shallowen,0,condition 1,1,template
signatorily,1,condition 2,1,template
assemblyless,1,condition 2,1,template
benchish,1,condition 2,0,template
delveable,1,condition 2,1,template
lunchify,1,condition 2,1,template
platialise,0,condition 2,1,template
violinious,0,condition 2,1,template
musksome,0,condition 2,0,template
containary,0,condition 2,1,template
shallowen,0,condition 2,0,template
signatorily,1,condition 3,1,template
assemblyless,1,condition 3,1,template
benchish,1,condition 3,0,template
delveable,1,condition 3,1,template
lunchify,1,condition 3,1,template
platialise,0,condition 3,1,template
violinious,0,condition 3,1,template
musksome,0,condition 3,1,template
containary,0,condition 3,0,template
shallowen,0,condition 3,1,template
signatorily,1,condition 4,1,template
assemblyless,1,condition 4,1,template
benchish,1,condition 4,0,template
delveable,1,condition 4,1,template
lunchify,1,condition 4,1,template
platialise,0,condition 4,0,template
violinious,0,condition 4,0,template
musksome,0,condition 4,0,template
containary,0,condition 4,0,template
shallowen,0,condition 4,1,template
